位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
OOP,AsQc,桶2:中等顶对,60.49,53.54,53.17,-11.5%,-12.1%
OOP,AhQc,桶2:中等顶对,60.51,53.54,53.17,-11.5%,-12.1%
OOP,AdQc,桶2:中等顶对,60.65,53.66,53.28,-11.5%,-12.2%
OOP,AcQd,桶2:中等顶对,60.70,53.71,53.33,-11.5%,-12.1%
OOP,AsQd,桶2:中等顶对,60.96,53.71,53.34,-11.9%,-12.5%
OOP,AhQd,桶2:中等顶对,60.97,53.75,53.37,-11.8%,-12.5%
OOP,AhQh,桶2:中等顶对,63.06,54.28,53.90,-13.9%,-14.5%
OOP,AdQd,桶2:中等顶对,64.14,55.10,54.71,-14.1%,-14.7%
OOP,AsAc,桶1:超强成牌,65.67,56.85,71.23,-13.4%,+8.5%
OOP,AhAc,桶1:超强成牌,65.72,56.59,70.90,-13.9%,+7.9%
OOP,AdAc,桶1:超强成牌,65.88,56.93,71.33,-13.6%,+8.3%
OOP,AsAh,桶1:超强成牌,66.05,56.56,70.86,-14.4%,+7.3%
OOP,KsKc,桶1:超强成牌,66.16,56.35,70.60,-14.8%,+6.7%
OOP,KhKc,桶1:超强成牌,66.19,56.28,70.52,-15.0%,+6.5%
OOP,AsAd,桶1:超强成牌,66.21,56.93,71.33,-14.0%,+7.7%
OOP,AhAd,桶1:超强成牌,66.25,56.64,70.97,-14.5%,+7.1%
OOP,KsKh,桶1:超强成牌,66.28,56.66,70.99,-14.5%,+7.1%
OOP,KdKc,桶1:超强成牌,66.30,56.36,70.62,-15.0%,+6.5%
OOP,KsKd,桶1:超强成牌,66.40,56.76,71.13,-14.5%,+7.1%
OOP,KhKd,桶1:超强成牌,66.42,56.69,71.03,-14.7%,+6.9%
OOP,QcJc,桶1:超强成牌,77.51,62.46,78.26,-19.4%,+1.0%
OOP,QdJd,桶1:超强成牌,79.99,64.12,80.34,-19.8%,+0.4%
OOP,QdQc,桶1:超强成牌,101.43,78.96,98.93,-22.2%,-2.5%
OOP,QhQc,桶1:超强成牌,102.27,80.08,100.34,-21.7%,-1.9%
OOP,QhQd,桶1:超强成牌,102.46,80.62,101.02,-21.3%,-1.4%
OOP,JdJc,桶1:超强成牌,102.71,76.67,96.06,-25.4%,-6.5%
OOP,JsJd,桶1:超强成牌,103.33,77.69,97.34,-24.8%,-5.8%
OOP,JsJc,桶1:超强成牌,103.38,76.92,96.39,-25.6%,-6.8%
IP,8c6c,桶7:纯空气,1.46,3.47,2.16,+137.6%,+47.7%
IP,8c7c,桶7:纯空气,1.55,3.93,2.44,+153.0%,+57.2%
IP,7c6c,桶7:纯空气,1.55,2.55,1.59,+64.2%,+2.1%
IP,7c5c,桶7:纯空气,1.85,3.34,2.08,+80.4%,+12.1%
IP,9c6c,桶7:纯空气,1.90,4.54,2.82,+138.4%,+48.1%
IP,9c7c,桶7:纯空气,1.99,5.05,3.14,+154.0%,+57.9%
IP,6c5c,桶7:纯空气,2.43,2.99,1.86,+22.7%,-23.7%
IP,8d6d,桶6:弱听牌,2.84,4.98,4.99,+75.2%,+75.8%
IP,8s6s,桶6:弱听牌,2.85,4.99,5.01,+75.4%,+76.0%
IP,8d7d,桶6:弱听牌,2.88,5.35,5.37,+85.7%,+86.3%
IP,8s7s,桶6:弱听牌,2.91,5.36,5.38,+84.3%,+84.9%
IP,Ac6c,桶7:纯空气,2.93,6.13,3.81,+109.6%,+30.2%
IP,7d6d,桶6:弱听牌,2.93,4.06,4.07,+38.4%,+38.9%
IP,Tc7c,桶7:纯空气,2.95,5.98,3.71,+102.7%,+26.0%
IP,7s6s,桶6:弱听牌,2.95,4.07,4.09,+38.0%,+38.5%
IP,8h6h,桶6:弱听牌,2.97,5.06,5.08,+70.6%,+71.1%
IP,Ac7c,桶7:纯空气,3.01,6.43,4.00,+113.9%,+33.0%
IP,8h7h,桶6:弱听牌,3.04,5.43,5.44,+78.7%,+79.3%
IP,7h6h,桶6:弱听牌,3.05,4.15,4.16,+36.1%,+36.5%
IP,5c3c,桶7:纯空气,3.22,4.44,2.76,+37.7%,-14.4%
IP,9d6d,桶6:弱听牌,3.24,5.66,5.68,+74.5%,+75.1%
IP,9d7d,桶6:弱听牌,3.26,6.15,6.17,+88.6%,+89.2%
IP,9s6s,桶6:弱听牌,3.28,5.73,5.75,+74.5%,+75.1%
IP,9s7s,桶6:弱听牌,3.32,6.20,6.22,+86.8%,+87.4%
IP,Kc6c,桶7:纯空气,3.37,6.23,3.87,+84.9%,+14.9%
IP,9h6h,桶6:弱听牌,3.39,5.76,5.78,+69.8%,+70.4%
IP,Kc7c,桶7:纯空气,3.39,6.49,4.03,+91.1%,+18.7%
IP,7d5d,桶6:弱听牌,3.42,4.72,4.74,+38.2%,+38.7%
IP,9h7h,桶6:弱听牌,3.43,6.23,6.25,+81.8%,+82.4%
IP,7s5s,桶6:弱听牌,3.46,4.86,4.87,+40.4%,+40.8%
IP,Ac8c,桶7:纯空气,3.51,7.19,4.47,+104.8%,+27.3%
IP,7h5h,桶6:弱听牌,3.56,4.92,4.94,+38.3%,+38.7%
IP,Kc8c,桶7:纯空气,3.57,6.75,4.19,+88.8%,+17.3%
IP,Ac5c,桶7:纯空气,3.77,6.36,3.95,+68.6%,+4.8%
IP,Kc5c,桶7:纯空气,3.92,6.17,3.84,+57.3%,-2.3%
IP,5h5c,桶3:中等成牌,4.00,7.07,5.87,+76.7%,+46.6%
IP,5s5c,桶3:中等成牌,4.03,7.08,5.87,+75.9%,+45.9%
IP,5d5c,桶3:中等成牌,4.06,7.19,5.96,+77.0%,+46.8%
IP,6d5d,桶6:弱听牌,4.13,4.41,4.42,+6.8%,+7.2%
IP,6s5s,桶6:弱听牌,4.15,4.55,4.57,+9.5%,+9.9%
IP,6h6c,桶3:中等成牌,4.16,8.65,7.17,+108.2%,+72.7%
IP,6s6c,桶3:中等成牌,4.17,8.67,7.19,+108.1%,+72.6%
IP,Ac3c,桶7:纯空气,4.17,6.70,4.16,+60.4%,-0.3%
IP,Ac2c,桶7:纯空气,4.18,6.69,4.16,+59.9%,-0.6%
IP,Ac9c,桶7:纯空气,4.20,7.95,4.94,+89.6%,+17.8%
IP,6h5h,桶6:弱听牌,4.24,4.61,4.63,+8.7%,+9.1%
IP,6d6c,桶3:中等成牌,4.25,8.72,7.23,+105.2%,+70.2%
IP,Ts7s,桶6:弱听牌,4.33,7.07,7.09,+63.3%,+63.8%
IP,Td7d,桶6:弱听牌,4.33,7.07,7.09,+63.1%,+63.7%
IP,5s5h,桶3:中等成牌,4.38,7.47,6.19,+70.3%,+41.3%
IP,2h2c,桶3:中等成牌,4.40,6.93,5.75,+57.6%,+30.7%
IP,5h5d,桶3:中等成牌,4.40,7.50,6.22,+70.3%,+41.2%
IP,Th7h,桶6:弱听牌,4.41,7.10,7.12,+61.0%,+61.6%
IP,2s2c,桶3:中等成牌,4.41,6.93,5.75,+57.2%,+30.4%
IP,2d2c,桶3:中等成牌,4.41,6.93,5.75,+57.2%,+30.4%
IP,3h3c,桶3:中等成牌,4.42,6.95,5.76,+57.3%,+30.5%
IP,5s5d,桶3:中等成牌,4.42,7.49,6.22,+69.6%,+40.7%
IP,3s3c,桶3:中等成牌,4.42,6.95,5.76,+57.1%,+30.3%
